y=1.84211e-08;u=5
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=98.1375
y=8.33333;u=100
y=8.14709;u=100
y=8.37058;u=100
y=8.32588;u=100
y=8.33482;u=100
y=8.33304;u=100
y=8.33339;u=100
y=8.33332;u=100
y=8.33334;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=97.7566
y=8.33333;u=100
y=8.10899;u=100
y=8.3782;u=100
y=8.32436;u=100
y=8.33513;u=100
y=8.33297;u=100
y=8.33341;u=100
y=8.33332;u=100
y=8.33334;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=97.3756
y=8.33333;u=99.947
y=8.0709;u=100
y=8.38053;u=100
y=8.32389;u=100
y=8.33522;u=100
y=8.33296;u=100
y=8.33341;u=100
y=8.33332;u=100
y=8.33334;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=99.5661
y=8.33333;u=100
y=8.28994;u=100
y=8.34201;u=100
y=8.3316;u=100
y=8.33368;u=100
y=8.33326;u=100
y=8.33335;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=100
y=8.33333;u=3.49206
y=8.33333;u=16.5745
y=-1.31746;u=19.5058
y=1.92094;u=47.6348
y=1.56639;u=35.6386
y=4.4502;u=39.3325
y=2.67382;u=39.9552
y=3.39849;u=57.2128
y=3.31582;u=67.7219
y=5.05812;u=84.9159
y=5.76057;u=99.1233
y=7.33947;u=119.236
y=8.44444;u=138.145
y=10.2347;u=160.581
y=11.7676;u=182.447
y=13.7046;u=206.838
y=15.5038;u=225.345
y=17.583;u=236.775
y=19.0179;u=242.518
y=19.8739;u=245.38
y=20.277;u=244.993
y=20.4826;u=241.581
y=20.4027;u=234.96
y=20.0775;u=225.824
y=19.4805;u=214.271
y=18.6863;u=200.658
y=17.6898;u=185.014
y=16.5278;u=179.428
y=15.1958;u=178.086
y=14.9036;u=181.202
y=14.8279;u=185.37
y=15.1546;u=193.079
y=15.5061;u=202.869
y=16.2067;u=215.588
y=17.0456;u=229.918
y=18.1497;u=246.41
y=19.3619;u=264.372
y=20.7686;u=278.207
y=22.2835;u=284.46
y=23.364;u=286.216
y=23.7732;u=284.894
y=23.867;u=281.132
y=23.716;u=274.313
y=23.37;u=264.854
y=22.7573;u=252.932
y=21.9339;u=239.004
y=20.9064;u=223.106
y=19.7191;u=205.479
y=18.3668;u=198.014
y=16.8746;u=195.022
y=16.4265;u=196.59
y=16.2169;u=199.386
y=16.4156;u=205.819
y=16.6555;u=214.469
y=17.2508;u=226.135
y=17.9967;u=239.519
y=19.0141;u=255.14
y=20.149;u=272.319
y=21.4842;u=285.434
y=22.935;u=291.037
y=23.9564;u=292.198
y=24.3124;u=290.338
y=24.3573;u=286.084
y=24.1623;u=278.819
y=23.776;u=268.953
y=23.1267;u=256.662
y=22.2699;u=242.396
y=21.2122;u=226.193
y=19.9972;u=208.288
y=18.6199;u=200.57
y=17.1048;u=197.346
y=16.636;u=198.705
y=16.4074;u=201.31
y=16.589;u=207.57
y=16.8132;u=216.062
y=17.3943;u=227.584
y=18.1273;u=240.837
y=19.1329;u=256.339
y=20.2571;u=273.41
y=21.5825;u=286.427
y=23.0245;u=291.94
y=24.0378;u=293.02
y=24.3865;u=291.086
y=24.4247;u=286.765
y=24.2236;u=279.438
